Product ID,Product Name,Category,Price (USD),Stock Status,Return Policy,Customer Support Info
242,Product 242,Electronics,195.63,Out of Stock,Exchange only,"For installation assistance, check our user guide."
243,Product 243,Toys,328.33,Out of Stock,Exchange only,"For installation assistance, check our user guide."
244,Product 244,Electronics,109.42,Available,Refund within 14 days,This product is covered under our 1-year warranty.
245,Product 245,Books,210.07,Out of Stock,30-day return,"For installation assistance, check our user guide."
246,Product 246,Books,25.83,Out of Stock,No return,"For warranty details, contact our support team."
247,Product 247,Books,173.32,Available,No return,"For installation assistance, check our user guide."
248,Product 248,Beauty,115.26,Available,No return,"For warranty details, contact our support team."
249,Product 249,Electronics,445.66,Available,No return,Shipping takes 5-7 business days.
250,Product 250,Books,145.36,Available,No return,"For installation assistance, check our user guide."
251,Product 251,Beauty,322.9,Out of Stock,No return,This product is covered under our 1-year warranty.
252,Product 252,Home & Kitchen,58.59,Available,30-day return,Shipping takes 5-7 business days.
253,Product 253,Clothing,219.31,Available,Exchange only,This item is eligible for free returns within 30 days.
254,Product 254,Home & Kitchen,161.81,Out of Stock,Exchange only,Shipping takes 5-7 business days.
255,Product 255,Electronics,106.75,Out of Stock,30-day return,"For installation assistance, check our user guide."
256,Product 256,Automotive,466.63,Out of Stock,Exchange only,Shipping takes 5-7 business days.
257,Product 257,Home & Kitchen,361.07,Available,Refund within 14 days,This item is eligible for free returns within 30 days.
258,Product 258,Books,7.27,Available,30-day return,"For warranty details, contact our support team."
259,Product 259,Books,377.45,Out of Stock,No return,This item is eligible for free returns within 30 days.
260,Product 260,Automotive,497.46,Available,Exchange only,Shipping takes 5-7 business days.
261,Product 261,Sports,319.94,Available,No return,This item is eligible for free returns within 30 days.
262,Product 262,Books,366.64,Available,Exchange only,"For installation assistance, check our user guide."
263,Product 263,Sports,25.01,Out of Stock,No return,"For warranty details, contact our support team."
264,Product 264,Beauty,119.32,Available,Refund within 14 days,"For installation assistance, check our user guide."
265,Product 265,Electronics,109.48,Available,No return,"For warranty details, contact our support team."
266,Product 266,Sports,117.21,Available,Refund within 14 days,Shipping takes 5-7 business days.
267,Product 267,Beauty,419.77,Available,Refund within 14 days,Shipping takes 5-7 business days.
268,Product 268,Toys,156.12,Out of Stock,Refund within 14 days,This product is covered under our 1-year warranty.
269,Product 269,Electronics,84.65,Out of Stock,Refund within 14 days,"For warranty details, contact our support team."
270,Product 270,Clothing,339.36,Out of Stock,Exchange only,This product is covered under our 1-year warranty.
271,Product 271,Beauty,216.64,Out of Stock,No return,This item is eligible for free returns within 30 days.
272,Product 272,Clothing,359.74,Out of Stock,30-day return,This item is eligible for free returns within 30 days.
273,Product 273,Clothing,166.64,Out of Stock,No return,Shipping takes 5-7 business days.
274,Product 274,Clothing,262.34,Out of Stock,Refund within 14 days,"For warranty details, contact our support team."
275,Product 275,Books,429.03,Out of Stock,Refund within 14 days,"For installation assistance, check our user guide."
276,Product 276,Electronics,406.07,Available,No return,This item is eligible for free returns within 30 days.
277,Product 277,Clothing,155.14,Out of Stock,30-day return,This item is eligible for free returns within 30 days.
278,Product 278,Sports,80.03,Out of Stock,No return,This product is covered under our 1-year warranty.
279,Product 279,Books,14.28,Available,Exchange only,"For installation assistance, check our user guide."
280,Product 280,Books,94.89,Available,Refund within 14 days,This product is covered under our 1-year warranty.
281,Product 281,Electronics,31.78,Out of Stock,No return,Shipping takes 5-7 business days.
282,Product 282,Beauty,254.94,Out of Stock,No return,This product is covered under our 1-year warranty.
283,Product 283,Beauty,201.91,Available,Refund within 14 days,"For warranty details, contact our support team."
284,Product 284,Sports,275.5,Out of Stock,No return,"For installation assistance, check our user guide."
285,Product 285,Home & Kitchen,312.99,Available,Refund within 14 days,"For warranty details, contact our support team."
286,Product 286,Beauty,242.62,Available,Refund within 14 days,Shipping takes 5-7 business days.
287,Product 287,Beauty,168.99,Out of Stock,No return,This product is covered under our 1-year warranty.
288,Product 288,Automotive,356.81,Out of Stock,30-day return,This product is covered under our 1-year warranty.
289,Product 289,Beauty,284.32,Available,Exchange only,"For warranty details, contact our support team."
290,Product 290,Automotive,159,Available,30-day return,Shipping takes 5-7 business days.
291,Product 291,Automotive,221.25,Out of Stock,Refund within 14 days,Shipping takes 5-7 business days.
292,Product 292,Toys,358.21,Out of Stock,Refund within 14 days,"For installation assistance, check our user guide."
293,Product 293,Toys,233.37,Out of Stock,30-day return,This product is covered under our 1-year warranty.
294,Product 294,Electronics,381.49,Available,Exchange only,"For warranty details, contact our support team."
295,Product 295,Clothing,204.94,Out of Stock,Exchange only,"For installation assistance, check our user guide."
296,Product 296,Books,224.27,Out of Stock,Refund within 14 days,Shipping takes 5-7 business days.
297,Product 297,Toys,481.03,Available,Refund within 14 days,"For installation assistance, check our user guide."
298,Product 298,Clothing,296.75,Available,Exchange only,Shipping takes 5-7 business days.
299,Product 299,Home & Kitchen,38.68,Available,30-day return,"For warranty details, contact our support team."
300,Product 300,Electronics,379.66,Available,No return,"For warranty details, contact our support team."
301,Product 301,Beauty,106.63,Out of Stock,30-day return,This item is eligible for free returns within 30 days.
302,Product 302,Clothing,111.22,Available,Exchange only,"For warranty details, contact our support team."
303,Product 303,Automotive,279.71,Out of Stock,Refund within 14 days,This product is covered under our 1-year warranty.
304,Product 304,Electronics,57.09,Available,30-day return,"For installation assistance, check our user guide."
305,Product 305,Sports,199.81,Available,Refund within 14 days,This item is eligible for free returns within 30 days.
306,Product 306,Electronics,40.5,Out of Stock,No return,"For installation assistance, check our user guide."
307,Product 307,Home & Kitchen,225.4,Available,Refund within 14 days,This product is covered under our 1-year warranty.
308,Product 308,Sports,67.59,Available,Exchange only,"For warranty details, contact our support team."
309,Product 309,Clothing,177.53,Out of Stock,No return,This product is covered under our 1-year warranty.
310,Product 310,Beauty,323.94,Out of Stock,30-day return,"For installation assistance, check our user guide."
311,Product 311,Automotive,78.34,Out of Stock,No return,This item is eligible for free returns within 30 days.
312,Product 312,Automotive,349.34,Available,Exchange only,"For warranty details, contact our support team."
313,Product 313,Sports,146.37,Available,Exchange only,This item is eligible for free returns within 30 days.
314,Product 314,Home & Kitchen,8.3,Available,Refund within 14 days,"For installation assistance, check our user guide."
315,Product 315,Beauty,118.66,Available,Refund within 14 days,This product is covered under our 1-year warranty.
316,Product 316,Sports,312.39,Available,30-day return,"For installation assistance, check our user guide."
317,Product 317,Automotive,235.15,Available,Exchange only,"For warranty details, contact our support team."
318,Product 318,Electronics,33.54,Available,Refund within 14 days,"For installation assistance, check our user guide."
319,Product 319,Beauty,278.43,Available,No return,This product is covered under our 1-year warranty.
320,Product 320,Electronics,412.16,Available,Refund within 14 days,This product is covered under our 1-year warranty.
321,Product 321,Home & Kitchen,434.48,Out of Stock,Exchange only,This product is covered under our 1-year warranty.
322,Product 322,Automotive,387.36,Available,30-day return,This item is eligible for free returns within 30 days.
323,Product 323,Automotive,114.6,Out of Stock,30-day return,This item is eligible for free returns within 30 days.
324,Product 324,Clothing,194.19,Available,Refund within 14 days,This item is eligible for free returns within 30 days.
325,Product 325,Clothing,199.68,Available,30-day return,This item is eligible for free returns within 30 days.
326,Product 326,Electronics,72.77,Available,Exchange only,Shipping takes 5-7 business days.
327,Product 327,Books,470.56,Out of Stock,Exchange only,"For warranty details, contact our support team."
328,Product 328,Clothing,460.57,Out of Stock,30-day return,"For installation assistance, check our user guide."
329,Product 329,Clothing,204.06,Available,Exchange only,Shipping takes 5-7 business days.
330,Product 330,Books,90.25,Available,Exchange only,Shipping takes 5-7 business days.
331,Product 331,Beauty,376.19,Available,Exchange only,This item is eligible for free returns within 30 days.
332,Product 332,Home & Kitchen,264.14,Out of Stock,Refund within 14 days,"For installation assistance, check our user guide."
333,Product 333,Home & Kitchen,162.89,Available,30-day return,"For installation assistance, check our user guide."
